Date,Open,High,Low,Close,Volume
11/12/2021,"391.77","395.25","390.13","394.70","34,730,559"
11/11/2021,"392.57","392.75","390.24","390.59","32,242,980"
11/10/2021,"392.47","395.36","387.53","389.51","54,937,391"
11/09/2021,"399.16","399.57","393.92","395.32","50,490,719"
11/08/2021,"398.57","399.62","397.40","398.06","29,256,270"
11/05/2021,"400.04","400.99","397.16","398.60","43,383,801"
11/04/2021,"394.48","399.20","393.92","398.22","40,265,312"
11/03/2021,"389.55","393.61","388.48","393.18","33,748,898"
11/02/2021,"386.80","389.54","386.75","389.05","25,135,289"
11/01/2021,"386.56","387.56","384.42","387.43","30,765,301"
10/29/2021,"381.06","386.28","380.70","386.11","37,310,121"
10/28/2021,"381.95","384.48","381.16","384.22","38,007,008"
10/27/2021,"379.58","383.15","379.31","380.00","45,760,500"
10/26/2021,"380.23","382.71","377.91","379.12","47,191,281"
10/25/2021,"375.56","378.87","373.56","377.93","32,597,801"
10/22/2021,"375.98","376.97","372.39","374.10","36,275,820"
10/21/2021,"374.16","377.47","373.85","377.27","25,469,279"
10/20/2021,"375.94","376.57","373.46","374.98","31,390,340"
10/19/2021,"373.75","375.52","372.70","375.47","29,090,961"
10/18/2021,"367.61","372.87","366.99","372.65","34,513,512"
10/15/2021,"367.88","369.06","366.82","368.94","40,419,879"
10/14/2021,"363.69","366.85","363.01","366.63","43,433,871"
10/13/2021,"359.51","360.69","357.43","360.00","40,120,801"
10/12/2021,"359.88","360.33","356.48","357.14","43,905,102"
10/11/2021,"359.58","363.20","358.30","358.39","34,847,180"
10/08/2021,"364.08","364.32","360.61","361.16","41,822,312"
10/07/2021,"362.80","365.69","362.25","362.97","39,411,168"
10/06/2021,"354.08","359.95","353.15","359.67","56,806,539"
10/05/2021,"353.71","359.69","353.48","357.38","47,232,898"
10/04/2021,"358.52","358.86","350.32","352.62","76,766,008"
10/01/2021,"358.60","361.25","354.38","360.18","56,375,488"
09/30/2021,"360.97","362.68","357.10","357.96","61,384,578"
09/29/2021,"361.17","363.37","358.64","359.28","58,076,621"
09/28/2021,"365.67","370.30","359.35","359.87","97,701,633"
09/27/2021,"370.20","371.25","367.73","370.35","43,338,078"
09/24/2021,"370.65","373.76","370.27","373.33","36,056,801"
09/23/2021,"370.76","374.04","370.10","372.98","44,652,000"
09/22/2021,"367.09","371.07","365.96","369.57","46,972,922"
09/21/2021,"367.58","368.81","364.99","366.15","41,927,480"
09/20/2021,"367.46","369.25","360.93","365.70","76,203,203"
09/17/2021,"377.82","377.87","372.76","373.83","60,912,273"
09/16/2021,"376.68","378.90","374.70","378.31","35,193,078"
09/15/2021,"375.73","378.41","373.37","378.05","34,097,871"
09/14/2021,"377.86","378.61","374.28","375.26","41,826,621"
09/13/2021,"378.99","379.43","374.22","376.33","48,741,781"
09/10/2021,"381.23","381.97","376.25","376.59","40,249,406"
09/09/2021,"381.01","382.15","379.22","379.47","29,398,980"
09/08/2021,"381.93","381.93","378.45","380.78","32,949,160"
09/07/2021,"381.68","382.78","380.49","382.11","23,970,199"
09/03/2021,"379.22","381.98","379.20","381.57","24,624,939"
09/02/2021,"381.97","382.31","379.15","380.40","25,503,539"
09/01/2021,"381.04","382.71","380.37","380.58","28,138,311"
08/31/2021,"380.51","380.58","378.36","379.95","29,628,180"
08/30/2021,"376.85","380.76","376.83","380.26","27,295,670"
08/27/2021,"373.07","376.56","372.57","376.04","27,104,750"
08/26/2021,"373.92","374.62","371.97","372.42","29,133,330"
08/25/2021,"374.63","375.39","373.86","374.80","20,441,881"
08/24/2021,"373.84","374.99","373.36","374.37","21,732,910"
08/23/2021,"368.80","373.94","368.79","373.23","34,034,738"
08/20/2021,"365.06","368.14","364.74","367.73","39,486,031"
08/19/2021,"360.22","365.68","359.96","363.96","48,499,367"
08/18/2021,"365.18","366.62","361.87","362.21","38,541,941"
08/17/2021,"366.15","367.15","363.23","365.73","44,793,898"
08/16/2021,"367.67","369.02","363.70","368.98","35,044,113"
08/13/2021,"367.89","369.16","367.38","368.82","19,336,189"
08/12/2021,"365.69","367.90","364.30","367.53","26,003,881"
08/11/2021,"368.14","368.65","364.84","366.21","34,249,809"
08/10/2021,"369.26","369.56","365.62","366.84","35,130,801"
08/09/2021,"368.52","369.27","367.39","368.73","25,960,250"
08/06/2021,"368.37","369.37","366.91","368.05","33,332,109"
08/05/2021,"368.18","369.91","367.45","369.67","21,443,930"
08/04/2021,"366.77","368.32","365.63","367.34","29,602,240"
08/03/2021,"365.28","366.93","362.00","366.81","35,558,512"
08/02/2021,"366.28","366.88","363.87","364.60","27,334,100"
07/30/2021,"362.44","365.17","362.41","364.57","36,484,648"
07/29/2021,"365.25","367.68","365.25","366.48","25,672,529"
07/28/2021,"365.60","367.45","363.24","365.83","42,066,199"
07/27/2021,"368.22","368.22","360.16","364.43","57,933,152"
07/26/2021,"367.49","368.89","366.60","368.49","28,438,131"
07/23/2021,"365.31","368.49","363.92","368.20","31,960,801"
07/22/2021,"361.77","363.96","361.77","363.95","30,252,240"
07/21/2021,"358.35","361.56","358.12","361.56","30,259,859"
07/20/2021,"355.63","360.28","353.80","358.79","42,183,699"
07/19/2021,"354.05","355.18","352.04","354.67","64,404,633"
07/16/2021,"361.40","362.41","357.24","357.60","47,261,961"
07/15/2021,"362.98","363.19","358.46","360.52","53,391,559"
07/14/2021,"364.83","365.49","362.22","363.07","35,336,352"
07/13/2021,"362.03","365.47","361.54","362.42","39,723,020"
07/12/2021,"362.45","362.89","360.83","362.42","25,717,680"
07/09/2021,"358.17","361.50","357.57","361.01","35,184,527"
07/08/2021,"355.74","359.65","354.42","358.77","50,890,020"
07/07/2021,"362.45","362.76","358.94","360.95","35,265,238"
07/06/2021,"359.26","360.48","356.49","360.19","38,842,398"
07/02/2021,"356.52","358.97","356.28","358.64","32,727,240"
07/01/2021,"354.07","355.09","352.68","354.57","29,289,980"
06/30/2021,"354.83","355.23","353.83","354.43","32,723,961"
06/29/2021,"353.53","355.02","352.67","354.99","29,426,039"
06/28/2021,"350.78","353.85","350.72","353.71","39,130,312"
06/25/2021,"350.47","350.72","348.84","349.46","28,682,801"
06/24/2021,"349.73","351.46","349.17","349.89","32,581,609"
06/23/2021,"347.51","348.92","346.88","347.74","27,188,449"
06/22/2021,"344.15","348.03","343.84","347.57","28,941,631"
06/21/2021,"342.43","344.69","340.15","344.36","32,992,648"
06/18/2021,"343.63","344.81","341.86","342.63","55,414,859"
06/17/2021,"339.97","346.38","339.92","345.34","59,722,699"
06/16/2021,"342.74","343.84","337.45","341.01","55,399,539"
06/15/2021,"344.15","344.47","341.52","342.26","35,963,781"
06/14/2021,"341.68","344.52","340.46","344.51","27,827,721"
06/11/2021,"340.36","341.25","339.69","341.24","21,222,830"
06/10/2021,"337.19","340.46","336.73","340.35","33,702,070"
06/09/2021,"338.17","338.97","336.65","336.84","21,485,320"
06/08/2021,"338.40","339.29","335.03","336.76","27,282,820"
06/07/2021,"335.05","336.66","334.34","336.60","32,611,850"
06/04/2021,"331.85","336.06","331.78","335.60","38,736,551"
06/03/2021,"330.55","331.86","328.28","330.00","37,057,832"
06/02/2021,"333.25","334.34","331.70","333.47","22,047,939"
06/01/2021,"335.30","335.79","331.43","332.82","31,145,420"
05/28/2021,"334.12","335.57","333.60","333.93","29,927,449"
05/27/2021,"333.67","334.54","332.67","332.88","27,931,750"
05/26/2021,"333.66","334.61","332.95","334.13","25,444,930"
05/25/2021,"334.07","334.81","331.76","332.97","31,280,311"
05/24/2021,"329.37","333.67","326.90","332.51","32,475,770"
05/21/2021,"330.43","330.86","326.64","327.01","50,330,449"
05/20/2021,"324.12","329.71","323.89","328.83","46,466,141"
05/19/2021,"316.66","322.90","316.30","322.59","66,319,109"
05/18/2021,"325.39","326.65","321.94","322.22","36,528,449"
05/17/2021,"324.63","326.37","321.45","324.41","39,187,121"
05/14/2021,"322.60","327.33","322.08","326.39","44,370,020"
05/13/2021,"319.92","322.40","316.90","319.34","69,877,766"
05/12/2021,"320.23","322.62","316.00","316.89","91,164,867"
05/11/2021,"319.70","326.13","319.02","325.31","71,963,609"
05/10/2021,"332.78","332.96","325.55","325.76","60,700,461"
05/07/2021,"334.37","336.65","331.69","334.20","53,324,461"
05/06/2021,"328.76","331.67","326.45","331.51","46,814,281"
05/05/2021,"332.25","333.14","328.23","329.03","46,219,312"
05/04/2021,"333.56","333.89","326.21","330.14","65,146,969"
05/03/2021,"339.23","340.00","335.73","336.19","29,729,730"
04/30/2021,"337.70","340.26","337.05","337.99","38,263,422"
04/29/2021,"342.37","342.80","336.90","340.22","37,708,879"
04/28/2021,"339.81","340.85","338.33","339.00","33,615,699"
04/27/2021,"341.93","342.15","339.17","340.15","33,187,180"
04/26/2021,"339.67","341.92","338.90","341.63","30,811,971"
04/23/2021,"335.85","340.77","335.85","339.42","36,414,922"
04/22/2021,"338.89","339.90","334.01","335.20","45,936,141"
04/21/2021,"335.09","339.48","333.97","339.29","36,598,078"
04/20/2021,"338.20","339.52","334.38","336.41","38,081,820"
04/19/2021,"340.39","341.58","336.90","338.88","34,533,129"
04/16/2021,"342.15","342.23","340.08","342.01","40,860,102"
04/15/2021,"339.47","342.01","336.22","341.61","36,342,820"
04/14/2021,"340.85","340.98","335.67","336.51","42,564,340"
04/13/2021,"338.24","341.08","338.02","340.60","30,374,029"
04/12/2021,"336.04","337.10","334.73","336.67","25,833,010"
04/09/2021,"333.68","337.32","332.92","337.11","36,664,887"
04/08/2021,"334.56","335.27","333.74","335.08","29,940,801"
04/07/2021,"330.33","332.48","329.37","331.62","32,046,381"
04/06/2021,"330.73","332.83","330.02","330.82","33,537,211"
04/05/2021,"327.13","331.84","324.64","331.05","42,172,480"
04/01/2021,"323.07","324.71","322.81","324.57","55,685,602"
03/31/2021,"316.16","320.74","315.81","319.13","55,032,539"
03/30/2021,"313.89","314.91","311.54","314.32","44,635,680"
03/29/2021,"315.45","316.99","312.47","315.91","54,607,961"
03/26/2021,"311.11","316.33","309.67","316.00","63,519,633"
03/25/2021,"309.97","312.89","307.39","311.33","78,729,008"
03/24/2021,"318.63","318.67","311.72","311.87","64,803,727"
03/23/2021,"319.73","321.09","316.38","317.22","53,455,406"
03/22/2021,"315.21","320.74","315.21","318.61","56,194,762"
03/19/2021,"311.87","314.73","309.66","313.14","78,446,203"
03/18/2021,"316.87","317.88","311.57","312.04","82,942,273"
03/17/2021,"317.45","323.85","315.68","321.90","78,258,727"
03/16/2021,"321.09","324.20","319.10","320.58","54,925,898"
03/15/2021,"315.79","319.00","314.10","318.83","43,123,180"
03/12/2021,"313.86","318.23","311.39","315.46","69,315,602"
03/11/2021,"315.77","319.86","314.85","318.04","53,484,801"
03/10/2021,"316.16","316.47","310.17","310.88","76,798,070"
03/09/2021,"307.47","313.73","306.92","311.77","80,391,109"
03/08/2021,"308.12","310.06","299.51","299.94","88,409,773"
03/05/2021,"306.80","309.61","297.45","308.68","121,523,695"
03/04/2021,"308.78","312.04","300.11","304.10","139,131,594"
03/03/2021,"317.27","318.24","309.10","309.16","86,301,070"
03/02/2021,"324.25","324.33","318.14","318.40","48,370,031"
03/01/2021,"319.27","323.94","317.94","323.59","49,164,520"
02/26/2021,"315.85","319.11","310.88","314.14","104,739,797"
02/25/2021,"321.39","324.03","311.24","312.83","110,182,602"
02/24/2021,"318.74","324.45","315.96","324.13","58,206,273"
02/23/2021,"317.00","323.20","311.00","321.48","97,241,938"
02/22/2021,"326.50","327.80","322.23","322.44","47,256,941"
02/19/2021,"333.86","333.99","329.97","331.02","39,157,680"
02/18/2021,"330.23","333.87","328.36","332.47","32,236,240"
02/17/2021,"332.47","335.66","330.17","333.93","31,467,461"
02/16/2021,"337.27","338.19","334.34","335.54","27,080,779"
02/12/2021,"333.71","336.62","332.63","336.45","20,346,820"
02/11/2021,"334.33","335.00","332.12","334.58","22,046,070"
02/10/2021,"334.99","335.46","329.50","332.75","28,068,699"
02/09/2021,"332.62","334.81","332.61","333.51","17,597,480"
02/08/2021,"333.10","333.74","331.41","333.58","20,462,811"
02/05/2021,"331.22","332.40","329.53","331.36","22,731,961"
02/04/2021,"327.82","330.33","326.46","330.24","22,350,949"
02/03/2021,"329.82","330.20","326.32","326.38","24,824,520"
02/02/2021,"325.48","328.87","325.31","327.68","33,930,840"
02/01/2021,"318.11","323.54","316.02","322.42","35,646,008"
01/29/2021,"319.58","320.72","312.76","314.56","55,259,020"
01/28/2021,"320.67","326.42","320.03","321.32","42,836,320"
01/27/2021,"326.26","326.27","317.36","319.43","55,263,992"
01/26/2021,"328.85","329.76","327.22","328.59","25,498,109"
01/25/2021,"328.91","330.32","321.41","328.11","39,080,641"
01/22/2021,"325.29","326.46","324.71","325.42","21,609,439"
01/21/2021,"325.15","327.13","323.73","326.36","25,316,939"
01/20/2021,"320.14","324.74","316.51","323.77","30,728,100"
01/19/2021,"314.25","316.93","313.12","316.41","24,537,051"
01/15/2021,"314.13","315.12","310.58","311.86","35,118,719"
01/14/2021,"316.50","317.53","313.86","314.35","23,500,131"
01/13/2021,"314.19","316.86","313.57","316.04","22,898,420"
01/12/2021,"314.46","315.58","311.20","313.92","29,266,760"
01/11/2021,"315.98","317.19","313.75","314.42","32,869,102"
01/08/2021,"317.34","319.39","315.08","319.03","33,955,848"
01/07/2021,"310.28","315.84","310.25","314.98","30,394,830"
01/06/2021,"307.00","311.88","305.98","307.54","52,809,621"
01/05/2021,"308.29","312.14","308.29","311.86","29,323,410"
01/04/2021,"315.11","315.29","305.18","309.31","45,305,898"
